ram_gb,ssd,hdd,graphic_card_gb,Touchscreen,msoffice,Price,rating,Number of Ratings,Number of Reviews,processor_brand_AMD,processor_brand_Intel,processor_brand_M1,ram_type_DDR3,ram_type_DDR4,ram_type_DDR5,ram_type_LPDDR3,ram_type_LPDDR4,ram_type_LPDDR4X,processor_gnrtn_10th,processor_gnrtn_11th,processor_gnrtn_12th,processor_gnrtn_4th,processor_gnrtn_7th,processor_gnrtn_8th,processor_gnrtn_9th,processor_gnrtn_Not Available,high_price
4,0,1024,0,0,0,34649,2.0,3,0,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,0
4,0,1024,0,0,0,38999,3.0,65,5,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,0
4,0,1024,0,0,0,39999,3.0,8,1,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,0
8,512,0,2,0,0,69990,3.0,0,0,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,1
4,0,512,0,0,0,26990,3.0,0,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0
4,0,512,0,0,0,22990,3.0,0,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0
4,0,512,0,0,0,21990,3.0,31,3,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0
8,0,1024,2,0,0,58799,3.0,0,0,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,0
4,0,1024,0,0,0,49999,3.0,0,0,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,0
4,0,512,4,0,0,59990,4.0,1946,240,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,0
4,0,512,6,0,0,93700,4.0,259,47,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,1
4,0,512,4,0,0,72990,4.0,425,67,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,1
4,0,512,0,0,0,17490,3.0,1120,196,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0
4,0,512,0,0,0,22990,3.0,0,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0
4,256,0,0,0,0,35990,3.0,0,0,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,0
8,256,0,0,1,0,56490,3.0,0,0,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,0
8,256,0,0,0,0,65390,3.0,0,0,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,1
4,256,0,0,0,0,31999,4.0,286,19,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0
8,256,0,0,0,0,32490,4.0,58,6,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0
4,256,0,0,0,0,31799,3.0,0,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0
4,256,0,0,0,0,29890,4.0,7,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0
4,0,1024,0,0,0,23990,3.0,15279,1947,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0
4,0,1024,0,0,0,32955,4.0,311,27,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0
4,0,1024,2,0,0,46200,4.0,47,7,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0
4,256,0,0,0,0,34429,4.0,37,6,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,0
8,256,0,0,0,1,37990,4.0,2080,235,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,0
4,256,0,0,0,1,35990,4.0,1479,181,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,0
8,256,0,0,0,0,33980,4.0,67,3,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,0
8,256,0,0,0,1,39990,4.0,273,30,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,0
8,256,0,0,0,1,39490,4.0,1267,171,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,0
8,256,0,0,1,1,53990,4.0,14,0,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,0
8,256,0,0,0,0,38990,3.0,0,0,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,0
8,256,0,0,0,0,37990,4.0,284,39,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,0
8,256,0,0,0,1,37890,4.0,44,5,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,0
8,256,0,0,0,0,38990,4.0,33,4,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,0
8,256,0,0,0,0,37990,4.0,286,36,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,0
8,256,0,0,0,1,41990,3.0,10,5,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,0
